trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,0,-127.33971002177132,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-158.87701349212688,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,0,-171.6712646115003,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",25,0,-137.24763833104234,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",25,0,-229.73362096198454,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-115.3839880845946,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,0,-8.178221151986602,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,0,-155.57312859147598,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",25,0,-121.68365896331545,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",25,0,-75.25713371154332,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",30,0,-93.66719721476781,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,0,-50.79413981171091,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,17.762045186931115,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,0,-44.858807838350074,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",20,0,-67.87753699546793,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",25,13,6.162383417860249,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",25,0,11.570775652332205,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",30,0,8.680171844770717,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,6,3.967320794053056,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,0,26.51231811279681,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,2,1.6908874316172136,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,22.238230063007958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,16,6.394114796880713,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,14,-3.447699235835483,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,5,6.10712897518842,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,24.994272918630063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,10,20.55125364191356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-3.0980722104361265,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,13,9.056443977487834,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,19.40833993214501,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
