trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.22888970548618,"{0: 10, 1: 2, 2: 2, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.50789757088668,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.42684292135291,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.37236556381617,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.68407756265668,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.691146639288,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.75429684360046,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.02856513295842,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.78377829157202,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,18,-6.086435575281899,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.73907392498704,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.3931430609821,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.99905772475924,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.15658216043593,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,3,-111.19216578732772,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.04783090542168,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.99229580244506,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.78530431394071,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.80723950661312,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.80560442349167,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.02086358270398,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,16,-38.18005439000965,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.08901258048144,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.51210258556989,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.70981959790493,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.06008178071525,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.09145507501279,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,8,-109.75906246868266,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.6596677139574,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.41916121189755,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
